ID,Latitude,Longtitude,Province,District,Commune,Sub-regional,Plot,Lot,Site,Forest owner,Land type,Original resources of forest,Date,Priority,Contractor,Status
7070,19.176804,104.605233,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/31/2021 0:00,Low,,Not Verified
7071,19.176742,104.605185,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/31/2021 0:00,Low,,Not Verified
7072,19.176742,104.605233,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/31/2021 0:00,Low,,Not Verified
7073,19.176668,104.605186,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/31/2021 0:00,Low,,Not Verified
7074,19.176668,104.605233,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/31/2021 0:00,Low,,Not Verified
7075,19.224108,104.609298,Nghe An,Tuong Duong,Tam Dinh,637,14,39,Dinh Thang,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7076,19.221784,104.621271,Nghe An,Tuong Duong,Tam Dinh,637,15,,Dinh Thang,Commune People's Committee,Area planted on the mountain,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7077,19.221852,104.621429,Nghe An,Tuong Duong,Tam Dinh,637,15,36,Dinh Thang,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/19/2021 0:00,Medium,,Not Verified
7078,19.221819,104.621345,Nghe An,Tuong Duong,Tam Dinh,637,15,38,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/19/2021 0:00,Medium,,Not Verified
7079,19.202899,104.674372,Nghe An,Tuong Duong,Tam Quang,662,6,16,Tam Hương,Commune People's Committee,"Area with regenerating wood trees, mountains and soil",Plantation forest,5/19/2021 0:00,Low,,Not Verified
7080,19.20294,104.674415,Nghe An,Tuong Duong,Tam Quang,662,6,11,Tam Hương,Commune People's Committee,Area planted on the mountain,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7081,19.193836,104.679048,Nghe An,Tuong Duong,Tam Quang,673,4,5,Tam Hương,Commune People's Committee,Area of mountains and land,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7082,19.193727,104.67907,Nghe An,Tuong Duong,Tam Quang,673,4,7,Tam Hương,Vi Văn Quy_t,Area of mountains and land,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7083,19.192361,104.678712,Nghe An,Tuong Duong,Tam Quang,673,4,11,Tam Hương,Vi Văn Quy_t,Medium evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/19/2021 0:00,Medium,,Not Verified
7084,19.192287,104.678742,Nghe An,Tuong Duong,Tam Quang,673,4,20,Tam Hương,Vi Văn Quy_t,"Area with regenerating wood trees, mountains and soil",Plantation forest,5/19/2021 0:00,Low,,Not Verified
7085,19.192217,104.67865,Nghe An,Tuong Duong,Tam Quang,673,4,22,Tam Hương,Vi Văn Quy_t,Area of mountains and land,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7086,19.188397,104.678866,Nghe An,Tuong Duong,Tam Quang,673,4,41,Tam Hương,Lô Văn Tuấn,Area of mountains and land,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7087,19.188354,104.67896,Nghe An,Tuong Duong,Tam Quang,673,5,29,Tam Hương,Kha Văn Đức,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/19/2021 0:00,Medium,,Not Verified
7088,19.187147,104.677961,Nghe An,Tuong Duong,Tam Quang,673,4,43,Tam Hương,Lô Văn Tuấn,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/19/2021 0:00,Medium,,Not Verified
7089,19.187057,104.677966,Nghe An,Tuong Duong,Tam Quang,673,4,,Tam Hương,Lô Văn Tuấn,Area planted on the mountain,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7090,19.101448,104.674566,Nghe An,Tuong Duong,Tam Quang,711,5,,Tung Huong,Commune People's Committee,Area of mountains and land,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7091,19.10149,104.674481,Nghe An,Tuong Duong,Tam Quang,711,5,,Tung Huong,Commune People's Committee,"Area with regenerating wood trees, mountains and soil",Plantation forest,5/19/2021 0:00,Low,,Not Verified
7092,19.085204,104.659922,Nghe An,Tuong Duong,Tam Quang,711,15,9,Liên Hương,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/19/2021 0:00,Medium,,Not Verified
7093,19.085252,104.660032,Nghe An,Tuong Duong,Tam Quang,711,13,51,Tam Quang,Commune People's Committee,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/19/2021 0:00,Medium,,Not Verified
7094,19.085177,104.660011,Nghe An,Tuong Duong,Tam Quang,711,13,41,Liên Hương,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/19/2021 0:00,Medium,,Not Verified
7095,19.084528,104.663248,Nghe An,Tuong Duong,Tam Quang,711,13,55,Tan Huong,Commune People's Committee,Area of mountains and land,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7096,19.084528,104.6632,Nghe An,Tuong Duong,Tam Quang,711,13,55,Tan Huong,Commune People's Committee,Area of mountains and land,Plantation forest,5/19/2021 0:00,Low,,Not Verified
7097,19.266746,104.616182,Nghe An,Tuong Duong,Tam Dinh,637,2,21,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7098,19.259382,104.56782,Nghe An,Tuong Duong,Tam Dinh,641,5,54,Dinh Huong,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7099,19.255786,104.595852,Nghe An,Tuong Duong,Tam Dinh,637,9,6,Dinh Thang,Kha Dương Hoàn,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7100,19.252663,104.598786,Nghe An,Tuong Duong,Tam Dinh,637,3,33,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7101,19.252668,104.59865,Nghe An,Tuong Duong,Tam Dinh,637,9,15,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7102,19.218472,104.629821,Nghe An,Tuong Duong,Tam Dinh,637,16,14,Dinh Tien,Lô Văn Tư,Area of mountains and land,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7103,19.218097,104.577259,Nghe An,Tuong Duong,Tam Dinh,661,1,35,Dinh Huong,Commune People's Committee,Area planted on the mountain,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7104,19.218161,104.57719,Nghe An,Tuong Duong,Tam Dinh,661,1,20,Dinh Huong,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7105,19.215527,104.640094,Nghe An,Tuong Duong,Tam Dinh,637,18,26,Dinh Tien,Commune People's Committee,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7106,19.206725,104.507885,Nghe An,Tuong Duong,Tam Thai,667,4,31,Can village,Vi Văn Ti_n,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7107,19.206103,104.479254,Nghe An,Tuong Duong,Tam Thai,667,6,20,Khoi village,Forestry One Member Limited Liability Company Tuong Duong,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7108,19.205007,104.671132,Nghe An,Tuong Duong,Tam Quang,662,1,44,Tam Hương,Lô Văn Tám,Area planted on the mountain,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7109,19.205048,104.67109,Nghe An,Tuong Duong,Tam Quang,662,1,46,Tam Hương,Lô Văn Tám,Bamboo plantation forest on the soil mountain,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7110,19.204972,104.671205,Nghe An,Tuong Duong,Tam Quang,662,1,,Tam Quang,Trương Văn Thảo,Area planted on the mountain,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7111,19.203389,104.673634,Nghe An,Tuong Duong,Tam Quang,662,6,6,Tam Quang,Commune People's Committee,Area of mountains and land,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7112,19.20339,104.673729,Nghe An,Tuong Duong,Tam Quang,662,6,11,Tam Hương,Commune People's Committee,Area planted on the mountain,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7113,19.202318,104.656151,Nghe An,Tuong Duong,Tam Quang,670,1,,Dinh Tien,Commune People's Committee,Area planted on the mountain,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7114,19.200503,104.660868,Nghe An,Tuong Duong,Tam Quang,670,1,,Dinh Tien,Commune People's Committee,Area planted on the mountain,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7115,19.200366,104.660895,Nghe An,Tuong Duong,Tam Quang,670,1,22,Tam Quang,Commune People's Committee,Area of mountains and land,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7116,19.199973,104.572209,Nghe An,Tuong Duong,Tam Dinh,661,7,47,Quang Phuc,Xên Văn Tứ,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Verified
7117,19.196545,104.687744,Nghe An,Tuong Duong,Tam Quang,662,6,118,Tam Quang,Lô Xuân T_nh,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7118,19.193143,104.609894,Nghe An,Tuong Duong,Tam Dinh,664,17,10,Quang Thanh,Vy Diễn Tới,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7119,19.19198,104.678117,Nghe An,Tuong Duong,Tam Quang,673,4,24,Tam Hương,Vi Văn Quy_t,"Area with regenerating wood trees, mountains and soil",Plantation forest,5/7/2021 0:00,Low,,Not Verified
7120,19.192018,104.67814,Nghe An,Tuong Duong,Tam Quang,673,4,22,Tam Hương,Vi Văn Quy_t,Area of mountains and land,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7121,19.192006,104.678045,Nghe An,Tuong Duong,Tam Quang,673,4,21,Tam Hương,Vi Văn Quy_t,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7122,19.181951,104.639856,Nghe An,Tuong Duong,Tam Quang,670,4,14,Dinh Phong,Vy Đình Nga,Medium evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7123,19.181988,104.639755,Nghe An,Tuong Duong,Tam Quang,670,4,26,Dinh Phong,Kha Văn Hợi,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7124,19.180212,104.462793,Nghe An,Tuong Duong,Tam Thai,660,11,50,Tam Hop,Commune People's Committee,"Area with regenerating wood trees, mountains and soil",Plantation forest,5/7/2021 0:00,Low,,Not Verified
7125,19.175849,104.594812,Nghe An,Tuong Duong,Tam Dinh,678,6,45,Quang Yen,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Verified
7126,19.174763,104.561312,Nghe An,Tuong Duong,Tam Dinh,678,3,92,Quang Phuc,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7127,19.174866,104.561317,Nghe An,Tuong Duong,Tam Dinh,678,3,86,Quang Phuc,Commune People's Committee,Natural bamboo forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7128,19.174905,104.561218,Nghe An,Tuong Duong,Tam Dinh,678,3,94,Quang Phuc,Commune People's Committee,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7129,19.167684,104.622508,Nghe An,Tuong Duong,Tam Quang,686,1,19,Quang Thanh,Lương Văn Thắng,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7130,19.167063,104.627978,Nghe An,Tuong Duong,Tam Quang,686,1,17,Tam Bong,Lữ Thanh Long,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7131,19.166959,104.628078,Nghe An,Tuong Duong,Tam Quang,686,1,17,Tam Bong,Lữ Thanh Long,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7132,19.166858,104.628388,Nghe An,Tuong Duong,Tam Quang,686,1,17,Tam Bong,Lữ Thanh Long,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7133,19.158135,104.696011,Nghe An,Tuong Duong,Tam Quang,680,9,1,Bai So,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,High,,Not Verified
7134,19.154197,104.624006,Nghe An,Tuong Duong,Tam Quang,686,3,29,Tam Bong,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7135,19.154039,104.670373,Nghe An,Tuong Duong,Tam Quang,694,1,31,Son Ha,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7136,19.142755,104.645275,Nghe An,Tuong Duong,Tam Quang,688,6,14,Son Ha,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7137,19.14279,104.64524,Nghe An,Tuong Duong,Tam Quang,688,6,20,Son Ha,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7138,19.087097,104.667132,Nghe An,Tuong Duong,Tam Quang,711,13,36,Tam Quang,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Verified
7139,19.266793,104.616104,Nghe An,Tuong Duong,Tam Dinh,637,2,21,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7140,19.259227,104.60636,Nghe An,Tuong Duong,Tam Dinh,637,7,26,Dinh Thang,Kha Văn Xuân,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7141,19.259136,104.60636,Nghe An,Tuong Duong,Tam Dinh,637,7,26,Dinh Thang,Kha Văn Xuân,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7142,19.255738,104.595805,Nghe An,Tuong Duong,Tam Dinh,637,9,6,Dinh Thang,Kha Dương Hoàn,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7143,19.25255,104.598713,Nghe An,Tuong Duong,Tam Dinh,637,3,33,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7144,19.252568,104.598667,Nghe An,Tuong Duong,Tam Dinh,637,9,15,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7145,19.218493,104.629846,Nghe An,Tuong Duong,Tam Dinh,637,16,14,Dinh Tien,Lô Văn Tư,Area of mountains and land,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7146,19.218489,104.629936,Nghe An,Tuong Duong,Tam Dinh,637,16,16,Dinh Tien,Quang Văn Sản,Area of mountains and land,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7147,19.176714,104.605281,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7148,19.176714,104.605317,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7149,19.176623,104.605186,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7150,19.176673,104.605306,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7151,19.176562,104.605186,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7152,19.176623,104.605239,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7153,19.176473,104.605197,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7154,19.176488,104.605186,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,5/7/2021 0:00,Low,,Not Verified
7155,19.167001,104.62809,Nghe An,Tuong Duong,Tam Quang,686,1,17,Tam Bong,Lữ Thanh Long,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7156,19.167001,104.628177,Nghe An,Tuong Duong,Tam Quang,686,1,17,Tam Bong,Lữ Thanh Long,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7157,19.166956,104.628177,Nghe An,Tuong Duong,Tam Quang,686,1,17,Tam Bong,Lữ Thanh Long,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7158,19.166915,104.628467,Nghe An,Tuong Duong,Tam Quang,686,1,17,Tam Bong,Lữ Thanh Long,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,5/7/2021 0:00,Medium,,Not Verified
7159,19.225115,104.606923,Nghe An,Tuong Duong,Tam Dinh,634,9,,Dinh Thang,Commune People's Committee,Area planted on the mountain,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7160,19.21818,104.552136,Nghe An,Tuong Duong,Tam Thai,655,2,49,Lung village,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/25/2021 0:00,High,,Not Verified
7161,19.212231,104.618886,Nghe An,Tuong Duong,Tam Dinh,664,6,15,Dinh Tien,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/25/2021 0:00,High,,Not Verified
7162,19.209998,104.680013,Nghe An,Tuong Duong,Tam Quang,662,1,8,Tam Hương,Lương Văn Mạnh,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7163,19.20628,104.669029,Nghe An,Tuong Duong,Tam Quang,662,1,38,Tam Hương,Lô Xuân Nhân,Wood forests planted with mountains and soil,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7164,19.206369,104.669016,Nghe An,Tuong Duong,Tam Quang,662,1,31,Tam Hương,Lô Ti_n Lan,Wood forests planted with mountains and soil,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7165,19.200384,104.660729,Nghe An,Tuong Duong,Tam Quang,670,1,22,Tam Quang,Commune People's Committee,Area of mountains and land,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7166,19.195699,104.66807,Nghe An,Tuong Duong,Tam Quang,662,5,,Tam Hương,Vi Văn Hằng,Area planted on the mountain,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7167,19.195695,104.668027,Nghe An,Tuong Duong,Tam Quang,662,5,,Tam Hương,Vi Văn Hằng,Area planted on the mountain,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7168,19.192137,104.475965,Nghe An,Tuong Duong,Tam Thai,660,9,28,Tam Thai,Commune People's Committee,"Area with regenerating wood trees, mountains and soil",Plantation forest,4/25/2021 0:00,Low,,Not Verified
7169,19.188222,104.678131,Nghe An,Tuong Duong,Tam Quang,673,4,41,Tam Hương,Lô Văn Tuấn,Area of mountains and land,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7170,19.188283,104.678036,Nghe An,Tuong Duong,Tam Quang,673,4,40,Tam Hương,Lô Văn Tuấn,"Area with regenerating wood trees, mountains and soil",Plantation forest,4/25/2021 0:00,Low,,Not Verified
7171,19.188034,104.678248,Nghe An,Tuong Duong,Tam Quang,673,4,41,Tam Hương,Lô Văn Tuấn,Area of mountains and land,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7172,19.18776,104.591569,Nghe An,Tuong Duong,Tam Dinh,661,9,89,Quang Phuc,Commune People's Committee,"Area with regenerating wood trees, mountains and soil",Plantation forest,4/25/2021 0:00,Low,,Not Verified
7173,19.187793,104.591509,Nghe An,Tuong Duong,Tam Dinh,661,9,86,Tam Dinh,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7174,19.187589,104.590979,Nghe An,Tuong Duong,Tam Dinh,661,9,84,Quang Phuc,Lô Thanh Tôn,"Area with regenerating wood trees, mountains and soil",Plantation forest,4/25/2021 0:00,Low,,Not Verified
7175,19.186638,104.590077,Nghe An,Tuong Duong,Tam Dinh,661,9,89,Quang Phuc,Commune People's Committee,"Area with regenerating wood trees, mountains and soil",Plantation forest,4/25/2021 0:00,Low,,Not Verified
7176,19.186599,104.592693,Nghe An,Tuong Duong,Tam Dinh,661,9,86,Tam Dinh,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7177,19.186276,104.589745,Nghe An,Tuong Duong,Tam Dinh,661,9,89,Quang Phuc,Commune People's Committee,"Area with regenerating wood trees, mountains and soil",Plantation forest,4/25/2021 0:00,Low,,Not Verified
7178,19.184746,104.595362,Nghe An,Tuong Duong,Tam Dinh,661,9,107,Quang Yen,Commune People's Committee,Area planted on the mountain,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7179,19.184726,104.595142,Nghe An,Tuong Duong,Tam Dinh,661,9,100,Quang Phuc,Commune People's Committee,Area planted on the mountain,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7180,19.176672,104.604745,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7181,19.130631,104.70399,Nghe An,Tuong Duong,Tam Quang,695,3,172,Bai Xa,Lô Văn Hợi,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7182,19.130598,104.704034,Nghe An,Tuong Duong,Tam Quang,695,3,,Bai Xa,Lê Văn Tuất,Area of mountains and land,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7183,19.130383,104.703885,Nghe An,Tuong Duong,Tam Quang,695,3,177,Bai Xa,Lô Văn Kim,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7184,19.130419,104.703842,Nghe An,Tuong Duong,Tam Quang,695,3,172,Bai Xa,Lô Văn Hợi,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7185,19.096061,104.677201,Nghe An,Tuong Duong,Tam Quang,711,9,63,Tan Huong,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7186,19.096022,104.677249,Nghe An,Tuong Duong,Tam Quang,711,9,69,Tan Huong,Commune People's Committee,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7187,19.085064,104.659816,Nghe An,Tuong Duong,Tam Quang,711,15,9,Liên Hương,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7188,19.224995,104.606875,Nghe An,Tuong Duong,Tam Dinh,634,9,61,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,4/25/2021 0:00,Medium,,Not Verified
7189,19.225038,104.606909,Nghe An,Tuong Duong,Tam Dinh,634,9,,Dinh Thang,Commune People's Committee,Area planted on the mountain,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7190,19.200359,104.660677,Nghe An,Tuong Duong,Tam Quang,670,1,,Dinh Tien,Commune People's Committee,Area planted on the mountain,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7191,19.200391,104.660683,Nghe An,Tuong Duong,Tam Quang,670,1,22,Tam Quang,Commune People's Committee,Area of mountains and land,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7192,19.199931,104.660341,Nghe An,Tuong Duong,Tam Quang,670,1,22,Tam Quang,Commune People's Committee,Area of mountains and land,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7193,19.176713,104.604757,Nghe An,Tuong Duong,Tam Dinh,678,7,25,Quang Thanh,Commune People's Committee,Wood forests planted with mountains and soil,Plantation forest,4/25/2021 0:00,Low,,Not Verified
7194,19.286634,104.539657,Nghe An,Tuong Duong,Tam Thai,615,3,40,Tam Thai,Board of protection forest management Tuong Duong,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
7195,19.286637,104.539575,Nghe An,Tuong Duong,Tam Thai,615,3,38,Tam Thai,Board of protection forest management Tuong Duong,Mixed rich natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
7196,19.24655,104.608055,Nghe An,Tuong Duong,Tam Dinh,637,11,23,Dinh Thang,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
7197,19.223977,104.504694,Nghe An,Tuong Duong,Tam Thai,649,3,7,Lung village,Commune People's Committee,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
7198,19.212678,104.556431,Nghe An,Tuong Duong,Tam Thai,655,6,36,Na Tong village,Lương Văn Hà,Medium evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
7199,19.212506,104.546795,Nghe An,Tuong Duong,Tam Thai,669,2,14,Lung village,Commune People's Committee,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
7200,19.21244,104.546862,Nghe An,Tuong Duong,Tam Thai,669,3,6,Lung village,Lô Hữu Tiên,Poor evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
7201,19.212458,104.546681,Nghe An,Tuong Duong,Tam Thai,669,2,13,Lung village,Commune People's Committee,Recovered evergreen broad-leaved natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
7202,19.204148,104.632462,Nghe An,Tuong Duong,Tam Dinh,664,13,6,Dinh Phong,Commune People's Committee,"Area with regenerating wood trees, mountains and soil",Plantation forest,4/13/2021 0:00,Low,,Not Verified
7203,19.204103,104.63246,Nghe An,Tuong Duong,Tam Dinh,664,13,9,Dinh Phong,Commune People's Committee,Mixed rich natural forest on the soil mountain,Natural forest,4/13/2021 0:00,Medium,,Not Verified
